"None","Points:0","Points:1","Points:2"
57.717,4.6078e+05,3.8719e+06,-1e+05
57.245,4.6478e+05,3.8719e+06,-1e+05
56.846,4.6878e+05,3.8719e+06,-1e+05
56.464,4.7278e+05,3.8719e+06,-1e+05
56.065,4.7678e+05,3.8719e+06,-1e+05
55.727,4.8078e+05,3.8719e+06,-1e+05
55.403,4.8478e+05,3.8719e+06,-1e+05
55.109,4.8878e+05,3.8719e+06,-1e+05
54.85,4.9278e+05,3.8719e+06,-1e+05
54.624,4.9678e+05,3.8719e+06,-1e+05
54.408,5.0078e+05,3.8719e+06,-1e+05
54.203,5.0478e+05,3.8719e+06,-1e+05
54.042,5.0878e+05,3.8719e+06,-1e+05
53.876,5.1278e+05,3.8719e+06,-1e+05
53.739,5.1678e+05,3.8719e+06,-1e+05
53.637,5.2078e+05,3.8719e+06,-1e+05
53.537,5.2478e+05,3.8719e+06,-1e+05
53.472,5.2878e+05,3.8719e+06,-1e+05
53.445,5.3278e+05,3.8719e+06,-1e+05
53.442,5.3678e+05,3.8719e+06,-1e+05
53.471,5.4078e+05,3.8719e+06,-1e+05
53.551,5.4478e+05,3.8719e+06,-1e+05
53.656,5.4878e+05,3.8719e+06,-1e+05
53.816,5.5278e+05,3.8719e+06,-1e+05
53.999,5.5678e+05,3.8719e+06,-1e+05
54.262,5.6078e+05,3.8719e+06,-1e+05
54.559,5.6478e+05,3.8719e+06,-1e+05
54.894,5.6878e+05,3.8719e+06,-1e+05
55.326,5.7278e+05,3.8719e+06,-1e+05
55.846,5.7678e+05,3.8719e+06,-1e+05
56.451,5.8078e+05,3.8719e+06,-1e+05
57.182,5.8478e+05,3.8719e+06,-1e+05
58.076,5.8878e+05,3.8719e+06,-1e+05
59.144,5.9278e+05,3.8719e+06,-1e+05
60.53,5.9678e+05,3.8719e+06,-1e+05
62.175,6.0078e+05,3.8719e+06,-1e+05
63.875,6.0478e+05,3.8719e+06,-1e+05
66.113,6.0878e+05,3.8719e+06,-1e+05
68.987,6.1278e+05,3.8719e+06,-1e+05
72.309,6.1678e+05,3.8719e+06,-1e+05
76.652,6.2078e+05,3.8719e+06,-1e+05
81.567,6.2478e+05,3.8719e+06,-1e+05
86.142,6.2878e+05,3.8719e+06,-1e+05
90.182,6.3278e+05,3.8719e+06,-1e+05
92.285,6.3678e+05,3.8719e+06,-1e+05
92.275,6.4078e+05,3.8719e+06,-1e+05
89.533,6.4478e+05,3.8719e+06,-1e+05
86.301,6.4878e+05,3.8719e+06,-1e+05
84.865,6.5278e+05,3.8719e+06,-1e+05
83.267,6.5678e+05,3.8719e+06,-1e+05
78.4,6.6078e+05,3.8719e+06,-1e+05
73.787,6.6478e+05,3.8719e+06,-1e+05
68.397,6.6878e+05,3.8719e+06,-1e+05
67.912,6.7278e+05,3.8719e+06,-1e+05
72.219,6.7678e+05,3.8719e+06,-1e+05
73.718,6.8078e+05,3.8719e+06,-1e+05
77.088,6.8478e+05,3.8719e+06,-1e+05
79.933,6.8878e+05,3.8719e+06,-1e+05
81.692,6.9278e+05,3.8719e+06,-1e+05
47.736,4.1278e+05,3.8759e+06,-1e+05
52.1,4.1678e+05,3.8759e+06,-1e+05
56.479,4.2078e+05,3.8759e+06,-1e+05
58.465,4.2478e+05,3.8759e+06,-1e+05
59.429,4.2878e+05,3.8759e+06,-1e+05
59.558,4.3278e+05,3.8759e+06,-1e+05
59.526,4.3678e+05,3.8759e+06,-1e+05
59.204,4.4078e+05,3.8759e+06,-1e+05
58.812,4.4478e+05,3.8759e+06,-1e+05
58.402,4.4878e+05,3.8759e+06,-1e+05
57.959,4.5278e+05,3.8759e+06,-1e+05
57.551,4.5678e+05,3.8759e+06,-1e+05
57.125,4.6078e+05,3.8759e+06,-1e+05
56.762,4.6478e+05,3.8759e+06,-1e+05
56.4,4.6878e+05,3.8759e+06,-1e+05
56.086,4.7278e+05,3.8759e+06,-1e+05
55.737,4.7678e+05,3.8759e+06,-1e+05
55.454,4.8078e+05,3.8759e+06,-1e+05
55.172,4.8478e+05,3.8759e+06,-1e+05
54.883,4.8878e+05,3.8759e+06,-1e+05
54.649,4.9278e+05,3.8759e+06,-1e+05
54.441,4.9678e+05,3.8759e+06,-1e+05
54.232,5.0078e+05,3.8759e+06,-1e+05
54.046,5.0478e+05,3.8759e+06,-1e+05
53.886,5.0878e+05,3.8759e+06,-1e+05
53.731,5.1278e+05,3.8759e+06,-1e+05
53.607,5.1678e+05,3.8759e+06,-1e+05
53.503,5.2078e+05,3.8759e+06,-1e+05
53.419,5.2478e+05,3.8759e+06,-1e+05
53.372,5.2878e+05,3.8759e+06,-1e+05
53.361,5.3278e+05,3.8759e+06,-1e+05
53.381,5.3678e+05,3.8759e+06,-1e+05
53.451,5.4078e+05,3.8759e+06,-1e+05
53.552,5.4478e+05,3.8759e+06,-1e+05
53.702,5.4878e+05,3.8759e+06,-1e+05
53.892,5.5278e+05,3.8759e+06,-1e+05
54.128,5.5678e+05,3.8759e+06,-1e+05
54.452,5.6078e+05,3.8759e+06,-1e+05
54.817,5.6478e+05,3.8759e+06,-1e+05
55.235,5.6878e+05,3.8759e+06,-1e+05
55.767,5.7278e+05,3.8759e+06,-1e+05
